,positionName,companyFullName,salary,city,companySize,workYear,education,industryField,formatCreateTime
13,Python,浙江胄天科技股份有限公司,15k-25k,杭州,50-150人,3-5年,本科,"信息安全,数据服务",2018-03-13
14,Python,北京凌云雀科技有限公司,13k-25k,北京,150-500人,不限,本科,"数据服务,企业服务",2018-03-13
0,Python,浙江胄天科技股份有限公司,15k-25k,杭州,50-150人,3-5年,本科,"信息安全,数据服务",2018-03-13
1,Python,北京凌云雀科技有限公司,13k-25k,北京,150-500人,不限,本科,"数据服务,企业服务",2018-03-13
2,Python运维开发工程师,环球时报在线（北京）文化传播有限公司,10k-20k,北京,150-500人,1-3年,本科,文化娱乐,2018-03-12
3,Python研发工程师,北京云中融信网络科技有限公司,15k-25k,北京,150-500人,1-3年,本科,"移动互联网,数据服务",2018-03-07
4,中高级Python开发,北京闪银奇异科技有限公司,18k-36k,北京,500-2000人,3-5年,本科,"移动互联网,金融",2018-03-07
5,GO+Python,北京链上科技有限责任公司,15k-25k,北京,15-50人,3-5年,本科,移动互联网,2018-02-27
6,高级Python开发,武汉空文网络科技有限公司,10k-20k,武汉,15-50人,1-3年,大专,文化娱乐,2018-03-13
7,Python研发工程师,微诺时代（北京）科技股份有限公司,10k-15k,北京,15-50人,3-5年,本科,数据服务,2018-03-12
8,Python开发工程师,上海蔓盈科技有限公司北京朝阳分公司,15k-20k,北京,50-150人,3-5年,本科,移动互联网,2018-03-07
9,Python高级工程师,西安智园软件开发管理有限公司,13k-26k,西安,50-150人,5-10年,不限,教育,2018-03-05
10,Python高级工程师,海南大云科技有限公司,15K-25K,北京,15-50人,5-10年,本科,"游戏,移动互联网",2018-02-28
11,Python运维开发经理,蓝信移动（北京）科技有限公司,18k-30k,北京,150-500人,1年以下,本科,移动互联网,2018-03-13
12,python后端开发工程师,上海一起作业信息科技有限公司,20k-40k,北京,500-2000人,1-3年,本科,"移动互联网,教育",2018-03-13
13,中高级 Python 工程师,北京大数医达科技有限公司,25k-35k,北京,15-50人,3-5年,本科,移动互联网,2018-03-09
14,高级Python工程师,秒秒测科技（北京）有限公司,15k-30k,北京,15-50人,3-5年,本科,"硬件,医疗健康",2018-03-06
0,Python开发工程师,天聚地合（苏州）数据股份有限公司,8k-15k,苏州,50-150人,不限,本科,数据服务,2018-03-13
1,运维工程师（python自动化运维）,上海泛微网络科技股份有限公司,7k-12k,上海,2000人以上,1-3年,本科,"移动互联网,企业服务",2018-03-13
2,Python高级开发工程师,巴迪艾斯（北京）数据科技有限公司,15k-20k,北京,15-50人,1-3年,本科,"生活服务,数据服务",2018-03-05
3,Python服务端开发工程师,广州博冠信息科技有限公司,15k-25k,杭州,2000人以上,3-5年,本科,游戏,2018-03-01
